,Name,# of data cut,# of feature cut,rank difference (coeff),SRCC (coeff),CD (coeff),Bray-Curtis (coeff),rank difference(p-value),SRCC(p-value),CD(p-value),Bray-Curtis(p-value)
0,real_1_IBD,11,8,0.075,-0.221,0.065,0.073,0.137,0.085,0.158,0.141
1,real_2_DR,7,6,0.065,-0.114,0.12,0.048,0.436,0.213,0.291,0.489
2,real_3_HF,1,1,0.062,-0.11,0.092,0.056,0.225,0.225,0.225,0.225
3,real_4_TS,2,3,0.051,-0.058,0.038,0.05,0.291,0.139,0.474,0.272
4,real_5_HT,8,6,0.028,0.252,0.121,0.025,0.832,0.564,0.267,0.836
5,real_6_BC,4,3,-0.038,0.199,0.075,-0.03,0.775,0.386,0.394,0.789
